DATE,WPU10170802
2010-12-01,100.0
2011-01-01,.
2011-02-01,.
2011-03-01,104.0
2011-04-01,105.7
2011-05-01,105.8
2011-06-01,108.4
2011-07-01,108.6
2011-08-01,108.7
2011-09-01,108.7
2011-10-01,109.1
2011-11-01,108.8
2011-12-01,108.9
2012-01-01,109.1
2012-02-01,108.5
2012-03-01,108.4
2012-04-01,108.1
2012-05-01,106.2
2012-06-01,105.5
2012-07-01,104.7
2012-08-01,104.8
2012-09-01,105.3
2012-10-01,104.6
2012-11-01,103.7
2012-12-01,104.3
2013-01-01,104.4
2013-02-01,104.4
2013-03-01,103.4
2013-04-01,104.0
2013-05-01,103.4
2013-06-01,103.3
2013-07-01,103.4
2013-08-01,102.8
2013-09-01,102.9
2013-10-01,103.0
2013-11-01,102.9
2013-12-01,103.9
2014-01-01,103.9
2014-02-01,103.9
2014-03-01,105.4
2014-04-01,105.4
2014-05-01,105.4
2014-06-01,106.5
2014-07-01,106.6
2014-08-01,106.6
2014-09-01,108.7
2014-10-01,108.7
2014-11-01,108.7
2014-12-01,108.6
2015-01-01,109.0
2015-02-01,109.0
2015-03-01,108.8
2015-04-01,108.8
2015-05-01,108.6
2015-06-01,108.6
2015-07-01,108.7
2015-08-01,108.7
2015-09-01,108.6
2015-10-01,108.6
2015-11-01,108.4
2015-12-01,109.8
2016-01-01,109.3
2016-02-01,110.0
2016-03-01,109.9
2016-04-01,110.6
2016-05-01,112.8
2016-06-01,113.5
2016-07-01,113.5
2016-08-01,113.5
2016-09-01,113.2
2016-10-01,111.9
2016-11-01,110.4
2016-12-01,111.6
2017-01-01,113.4
2017-02-01,115.1
2017-03-01,115.2
2017-04-01,118.1
2017-05-01,117.2
2017-06-01,117.9
2017-07-01,117.7
2017-08-01,117.7
2017-09-01,118.3
2017-10-01,119.0
2017-11-01,117.3
2017-12-01,117.3
